,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
58,55.6003,43.7288,14,21,1,90,63,1025,3,1,0,0,35.9532,27.4583,32,23,2,1,7,0.1322314049586777,139.13,242,10,299,242.0,7,441.988,19.0567,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,18.8779,85.9906,35.0,42.0,0.1446280991735537,5.0,0.892473
59,38.8512,38.8512,14,21,1,90,63,1025,3,1,0,0,29.4698,18.8785,19,14,1,1,8,0.0785123966942148,135.71,242,10,299,242.0,7,413.386,17.9419,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,24.2838,72.3546,34.0,54.0,0.140495867768595,3.78,0.918367
60,22.8244,20.5623,14,21,1,90,63,1025,3,1,0,0,8.2656,19.6594,1,2,0,0,9,0.0041322314049586,50.0,242,10,299,242.0,7,105.123,30.9399,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,11.2107,53.84,51.0,54.0,0.2107438016528925,5.67,0.777778
61,0.0,0.0,14,21,1,90,63,1025,3,1,0,0,0.2566,7.15613,0,0,0,0,10,0.0,0.0,242,10,299,242.0,7,58.5243,58.5243,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,17.7668,22.1115,58.0,51.0,0.2396694214876033,6.82,0.0
62,19.7214,19.7214,14,21,1,90,63,1025,3,1,0,0,16.2746,17.027,2,2,0,0,11,0.0082644628099173,100.0,242,10,299,242.0,7,183.552,183.552,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,15.2018,27.6534,64.0,60.0,0.2644628099173554,6.4,1.0
63,62.9666,26.0915,14,15,0,75,74,1024,3,2,0,1,33.8978,49.9098,40,37,6,0,1,0.3361344537815126,108.11,119,1,92,119.0,9,0.0,0.0,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
64,74.1419,45.9018,14,15,0,75,74,1024,3,2,0,1,69.7446,102.045,60,45,7,1,2,0.5042016806722689,133.33,119,1,92,119.0,9,0.0,0.0,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
65,58.7808,58.7808,14,15,0,75,74,1024,3,2,0,1,19.9466,34.3766,10,10,2,0,3,0.0840336134453781,100.0,119,1,92,119.0,9,0.0,0.0,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.860465
66,31.4101,31.4101,14,15,0,75,74,1024,3,2,0,1,31.4101,16.4525,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,122.804,122.804,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,4.5233,17.01,12.0,24.0,0.1008403361344537,3.0,0.75
67,22.8244,20.5623,14,15,0,75,74,1024,3,2,0,1,8.2656,19.1924,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,105.123,30.9399,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,11.2107,21.1845,23.0,30.0,0.1932773109243697,4.6,0.777778
