,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
179,36,0,27,0,21,3,0,4.5,0,0,0.330259383,0.028562528,0.027924819,0.014893237,0.000930827,0.063296255,0.013031582,0.938273904,0.002792482,1,2,0,0,0.057669404,0.035252477,3,1
180,59,0,35,3,35,2,0,3.56,0,0,0.178386055,0.028798125,0.029155671,0.015549691,0.000971856,0.066086187,0.01360598,0.97963053,0.002915567,1,2,0,0,0.040187399,0.020106819,3,0
181,60,1,42,2,36,2,1,4.2,2,0,0.067839363,0.025923964,0.029586923,0.015779692,0.000986231,0.067063693,0.013807231,0.994120625,0.002958692,1,2,0,0,0.022354301,0.011311377,3,0
182,30,0,22,1,12,0,0,4.4,1,0,0.25256518,0.018388671,0.028644277,0.015276948,0.000954809,0.064927027,0.013367329,0.962447693,0.002864428,1,2,0,0,0.044054802,0.046573589,3,1
183,54,0,42,2,31,4,0,4.67,2,0,0.50335084,0.024770912,0.022875155,0.005083368,0.000847228,0.072861605,0.011861191,0.856547468,0.002541684,-1,1,1,1,0.011549327,0.078813635,3,0
184,50,0,64,0,20,8,1,7.68,0,0,0.375800655,0.043497172,0.024545141,0.005454476,0.000909079,0.07818082,0.01272711,0.919079171,0.002727238,-1,1,1,1,0.030563882,0.065776069,3,2
185,54,0,55,1,27,5,1,6.11,2,0,0.397883769,0.016169823,0.024305777,0.005401284,0.000900214,0.077418401,0.012602995,0.910116317,0.002700642,-1,1,1,1,0.018507859,0.077409939,3,2
186,54,0,43,0,24,3,0,4.78,0,0,0.102778205,0.035979949,0.026397758,0.005866169,0.000977695,0.084081749,0.013687727,0.988449394,0.002933084,-1,1,1,1,0.018468849,0.052639085,3,0
187,30,0,27,1,14,2,0,5.4,1,0,0.251786737,0.018331994,0.025700392,0.005711198,0.000951866,0.081860507,0.013326129,0.962336889,0.002855599,-1,1,1,1,0.012833348,0.049289734,3,1
188,48,0,39,0,23,3,0,4.88,1,0,0.067532149,0.025806566,0.026507644,0.005890587,0.000981765,0.084431754,0.013744704,0.992563993,0.002945294,-1,1,1,1,0.011798258,0.037233324,3,3
189,42,0,40,3,19,5,0,5.71,0,1,0.501303404,0.034567629,0.018563199,0.011812945,0.0,0.069190105,0.081846831,0.855594711,0.002531345,-1,2,0,1,0.029989607,0.050809163,4,3
190,36,1,31,0,21,5,0,5.17,0,0,0.374127243,0.040089535,0.019910687,0.012670437,0.0,0.074212562,0.08778803,0.917701676,0.002715094,-1,2,0,1,0.019176254,0.04581431,4,1
191,42,0,52,2,19,4,1,7.43,4,0,0.271358186,0.019316126,0.020682789,0.013161775,0.0,0.077090394,0.091192295,0.953288527,0.00282038,-1,2,0,1,0.02766417,0.039992146,4,3
