wickets,econ,performance
0,4.67,0.214132762
1,4.11,0.486618005
0,7,0.142857143
2,6.2,0.483870968
2,2.5,1.2
3,4.24,0.943396226
2,3.6,0.833333333
3,5.86,0.682593857
1,5.4,0.37037037
1,4.1,0.487804878
0,4.33,0.230946882
3,3.89,1.028277635
2,6.13,0.489396411
1,6.35,0.31496063
0,4.3,0.23255814
1,5.21,0.383877159
2,4.38,0.684931507
1,6.3,0.317460317
1,9.26,0.215982721
1,4.3,0.465116279
1,4.2,0.476190476
1,6,0.333333333
1,6.73,0.29717682
2,5.9,0.508474576
0,6.56,0.152439024
1,8.43,0.237247924
1,7.7,0.25974026
2,9.67,0.310237849
1,6.6,0.303030303
2,3.22,0.931677019
3,2.86,1.398601399
1,5.86,0.341296928
1,3,0.666666667
0,7.13,0.140252454
3,7.12,0.561797753
1,7.17,0.278940028
0,5,0.2
0,13,0.076923077
0,4.17,0.239808153
0,14.5,0.068965517
0,10,0.1
0,7,0.142857143
1,4.2,0.476190476
1,4,0.5
1,4.4,0.454545455
0,8,0.125
1,5.4,0.37037037
0,5,0.2
1,3.6,0.555555556
1,5.25,0.380952381
0,7.5,0.133333333
2,6.4,0.46875
2,7.78,0.385604113
1,4.4,0.454545455
1,5.17,0.386847195
0,6.5,0.153846154
0,5.22,0.191570881
1,8,0.25
1,4.9,0.408163265
0,6.3,0.158730159
0,6.67,0.149925037
1,5.11,0.391389432
1,6.25,0.32
0,8.1,0.12345679
0,3.86,0.259067358
0,3.38,0.295857988
1,4.8,0.416666667
0,10,0.1
1,6.2,0.322580645
0,5.83,0.171526587
3,4.88,0.819672131
2,4.75,0.631578947
1,3,0.666666667
1,8.14,0.245700246
0,3.33,0.3003003
3,3,1.333333333
0,5,0.2
1,5,0.4
2,11.5,0.260869565
1,11.67,0.171379606
2,5.61,0.534759358
1,7.29,0.274348422
1,4.17,0.479616307
0,6.29,0.158982512
0,5.5,0.181818182
2,3.86,0.777202073
0,7,0.142857143
2,6.14,0.488599349
2,5.71,0.525394046
2,5.57,0.538599641
0,3.4,0.294117647
2,6.38,0.470219436
1,5.5,0.363636364
0,9,0.111111111
0,8,0.125
0,17,0.058823529
0,9.8,0.102040816
2,9,0.333333333
0,9,0.111111111
1,5,0.4
0,20.5,0.048780488
0,9.5,0.105263158
0,9.43,0.106044539
0,17,0.058823529
2,5.5,0.545454545
2,3.8,0.789473684
0,5.38,0.185873606
0,6.2,0.161290323
0,8.5,0.117647059
2,5.5,0.545454545
1,6.6,0.303030303
1,10.67,0.187441425
1,6.5,0.307692308
1,4,0.5
0,5.5,0.181818182
0,15,0.066666667
1,6.9,0.289855072
0,4.56,0.219298246
0,7.5,0.133333333
3,5.3,0.754716981
1,4.9,0.408163265
0,6.4,0.15625
1,4.86,0.411522634
2,4.11,0.729927007
1,5.63,0.355239787
1,6.6,0.303030303
5,4.78,1.255230126
0,7,0.142857143
4,3.8,1.315789474
1,8.5,0.235294118
1,6,0.333333333
1,5.83,0.343053173
2,4,0.75
1,5.71,0.350262697
2,6.5,0.461538462
2,3.67,0.817438692
0,7,0.142857143
2,6.4,0.46875
1,5.9,0.338983051
1,4.3,0.465116279
0,10,0.1
0,6.71,0.149031297
0,4.2,0.238095238
0,7.75,0.129032258
0,7.75,0.129032258
0,9.55,0.104712042
0,7,0.142857143
1,4,0.5
0,4,0.25
1,6.86,0.29154519
2,8.67,0.346020761
0,5.67,0.176366843
0,7.25,0.137931034
0,12,0.083333333
0,8.51,0.117508813
1,6,0.333333333
1,6.5,0.307692308
1,8.3,0.240963855
1,7.38,0.27100271
3,4.8,0.833333333
0,5.2,0.192307692
0,6.5,0.153846154
0,4.71,0.212314225
0,6.52,0.153374233
1,5,0.4
1,2.7,0.740740741
0,5.67,0.176366843
3,4.8,0.833333333
2,6.6,0.454545455
2,2.83,1.060070671
3,6.6,0.606060606
4,1.93,2.590673575
1,6,0.333333333
0,4.3,0.23255814
0,4.6,0.217391304
0,5,0.2
2,4.29,0.699300699
0,9,0.111111111
2,4.4,0.681818182
2,4.5,0.666666667
0,6,0.166666667
1,4.33,0.461893764
1,5.25,0.380952381
0,8,0.125
0,7.38,0.135501355
1,9.86,0.202839757
3,4.63,0.863930886
0,5.25,0.19047619
0,5,0.2
0,3.75,0.266666667
3,5.1,0.784313725
0,3.6,0.277777778
0,5,0.2
0,5.5,0.181818182
2,5,0.6
2,2.88,1.041666667
2,2.71,1.10701107
1,4.4,0.454545455
2,3,1
0,8,0.125
3,3.23,1.238390093
2,3.7,0.810810811
2,4.82,0.622406639
2,5.5,0.545454545
0,4.75,0.210526316
1,4.17,0.479616307
1,4,0.5
1,3.4,0.588235294
0,3.5,0.285714286
0,2.5,0.4
0,4,0.25
0,6.67,0.149925037
2,7.3,0.410958904
2,6.7,0.447761194
0,5,0.2
1,6.5,0.307692308
0,7.29,0.137174211
1,5.22,0.383141762
1,4.29,0.466200466
1,3.83,0.522193211
2,3.71,0.808625337
0,9,0.111111111
3,5,0.8
3,2.22,1.801801802
0,4,0.25
0,4.83,0.207039337
0,4.5,0.222222222
0,7.29,0.137174211
1,4.38,0.456621005
1,3.8,0.526315789
0,11.25,0.088888889
1,7.6,0.263157895
2,7.71,0.389105058
1,5.25,0.380952381
0,5.75,0.173913043
1,5.1,0.392156863
1,4.75,0.421052632
0,5.29,0.189035917
0,3.83,0.261096606
1,6.13,0.326264274
1,3.75,0.533333333
0,5.5,0.181818182
0,5,0.2
0,8,0.125
0,7.4,0.135135135
2,10.43,0.287631831
1,6.9,0.289855072
0,6,0.166666667
0,7.75,0.129032258
2,5.5,0.545454545
0,8,0.125
3,7.1,0.563380282
0,8.57,0.116686114
2,8.75,0.342857143
0,6,0.166666667
0,7.17,0.139470014
1,6.1,0.327868852
0,9.2,0.108695652
2,5.63,0.53285968
1,9.25,0.216216216
0,7.88,0.126903553
0,5.4,0.185185185
1,5.38,0.371747212
1,4,0.5
0,7.33,0.136425648
4,4.93,1.014198783
2,4.75,0.631578947
2,4.7,0.638297872
0,7,0.142857143
0,8,0.125
2,3.3,0.909090909
0,4.6,0.217391304
0,5.7,0.175438596
1,5.1,0.392156863
2,5.4,0.555555556
0,6.4,0.15625
1,7.2,0.277777778
2,7,0.428571429
1,7.2,0.277777778
1,7.3,0.273972603
1,6,0.333333333
0,5.13,0.194931774
1,2.33,0.858369099
1,5.29,0.378071834
1,4.8,0.416666667
3,6,0.666666667
1,5.38,0.371747212
0,3.8,0.263157895
0,2,0.5
0,3,0.333333333
1,5.67,0.352733686
0,5.78,0.173010381
1,6.1,0.327868852
0,8.88,0.112612613
0,6.5,0.153846154
0,9,0.111111111
2,6.43,0.466562986
0,5.67,0.176366843
1,2.57,0.778210117
0,4.6,0.217391304
4,5.2,0.961538462
1,3,0.666666667
1,9,0.222222222
3,5.63,0.710479574
1,7.89,0.253485425
1,4.67,0.428265525
0,4.86,0.205761317
1,7.3,0.273972603
2,6.29,0.476947536
2,5.3,0.566037736
0,5,0.2
0,4.5,0.222222222
0,11,0.090909091
1,6.4,0.3125
1,5.86,0.341296928
3,6.67,0.59970015
1,13.5,0.148148148
0,8,0.125
2,4.4,0.681818182
0,8.33,0.120048019
1,5.75,0.347826087
4,4.7,1.063829787
0,7.3,0.136986301
0,4,0.25
0,2,0.5
0,6.5,0.153846154
0,7.17,0.139470014
0,4.5,0.222222222
0,9,0.111111111
