performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
good,2,Tillakaratne Dilshan,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,3,Kumar Sangakkara,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,4,Mahela Jayawardene,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,5,Chamara Kapugedera,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,6,Thilan Samaraweera,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,7,Thisara Perera,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,8,Angelo Mathews,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,9,Rangana Herath,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,10,Ajantha Mendis,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,1,Upul Tharanga,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,2,Tillakaratne Dilshan,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
best,3,Kumar Sangakkara,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
best,4,Mahela Jayawardene,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
poor,5,Thisara Perera,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,6,Angelo Mathews,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
poor,7,Chamara Kapugedera,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,8,Thilan Samaraweera,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
