"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"18","0","16","1","10","2","0","5.33","0","0","Thisara Perera","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"30","0","22","0","12","0","0","4.4","0","1","Jeevan Mendis","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"24","0","16","2","15","1","0","4","0","1","Dhammika Prasad","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"42","0","34","2","23","3","1","4.86","0","0","Angelo Mathews","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"24","0","31","0","11","2","2","7.75","0","0","Tillakaratne Dilshan","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"18","0","18","0","10","1","1","6","1","0","Thisara Perera","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"34","0","53","0","12","4","3","9.35","1","0","Ajantha Mendis","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"12","0","9","0","6","1","0","4.5","0","0","Jeevan Mendis","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"36","0","49","1","14","6","1","8.17","2","1","Dhammika Prasad","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"36","0","41","1","14","3","1","6.83","1","0","Rangana Herath","25","28","24","15","0","86","35","1012","Excellent","inning1","lost","night","won","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","England","11"
"36","0","21","0","21","1","0","3.5","0","0","Angelo Mathews","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"36","1","29","1","21","3","0","4.83","2","0","Dhammika Prasad","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"60","0","64","3","24","3","3","6.4","2","0","Tillakaratne Dilshan","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"12","0","19","0","6","2","1","9.5","1","0","Thisara Perera","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"60","0","36","3","29","1","0","3.6","0","0","Rangana Herath","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
