economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
6.0,60,0,594.115,40.9675,18,20,0,66,7,1009,3,2,0,0,28.9551,60.216,4
4.33,36,2,68.0699,0.0,18,20,0,66,7,1009,3,2,0,0,7.2022,23.5731,4
4.2,60,5,105.123,25.8278,18,20,0,66,7,1009,3,2,0,0,6.76514,25.6538,4
5.5,36,0,122.804,2.9477,18,20,0,66,7,1009,3,2,0,0,13.289,45.6241,4
3.1,58,5,594.115,40.9675,17,9,0,75,22,1022,3,1,0,0,6.25726,10.9877,4
2.43,42,3,68.0699,0.0,17,9,0,75,22,1022,3,1,0,0,5.74953,6.07797,4
3.33,36,1,441.988,28.4425,17,9,0,75,22,1022,3,1,0,0,16.2307,20.2643,4
3.0,48,1,183.552,30.9946,17,9,0,75,22,1022,3,1,0,0,14.8439,15.6537,4
3.0,12,0,122.804,2.9477,17,9,0,75,22,1022,3,1,0,0,3.9197,4.1517,4
4.2,30,0,413.386,44.2963,24,11,0,81,18,1009,3,1,1,1,39.4009,70.4721,4
7.8,30,0,288.64,0.0,24,11,0,81,18,1009,3,1,1,1,23.2574,29.9514,4
5.33,36,1,183.552,30.9946,24,11,0,81,18,1009,3,1,1,1,23.071,34.103,4
5.39,49,2,105.123,25.8278,24,11,0,81,18,1009,3,1,1,1,10.3014,19.8435,4
4.11,54,0,122.804,2.9477,24,11,0,81,18,1009,3,1,1,1,45.7865,63.9574,4
3.6,30,0,264.519,28.3481,24,11,0,81,18,1009,3,1,1,1,30.7008,64.7436,4
5.63,48,1,594.115,40.9675,27,24,0,82,47,1010,3,1,1,1,48.2943,79.1412,4
5.43,42,1,413.386,44.2963,27,24,0,82,47,1010,3,1,1,1,31.8562,70.4721,4
6.0,18,0,354.802,35.0584,27,24,0,82,47,1010,3,1,1,1,34.152,48.0335,4
6.84,50,0,235.698,33.0319,27,24,0,82,47,1010,3,1,1,1,38.5658,46.3844,4
3.83,36,0,183.552,30.9946,27,24,0,82,47,1010,3,1,1,1,27.5644,34.103,4
4.0,18,0,122.804,2.9477,27,24,0,82,47,1010,3,1,1,1,9.70423,63.9574,4
5.33,18,0,264.519,28.3481,27,24,0,82,47,1010,3,1,1,1,100.306,64.7436,4
