Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Angelo Mathews;4;0;21;0;5.25;10;2;0;0;0;514037
Lasith Malinga;10;0;57;1;5.70;27;4;0;4;0;514038
Nuwan Kulasekara;8;0;40;1;5.00;28;5;0;0;0;514038
Sachithra Senanayake;10;1;53;0;5.30;32;5;2;0;0;514038
Thisara Perera;4;0;34;2;8.50;7;4;0;1;0;514038
Angelo Mathews;1;0;6;0;6.00;3;1;0;0;0;514038
Tillakaratne Dilshan;8;0;60;0;7.50;16;2;3;0;0;514038
Rangana Herath;9;0;45;2;5.00;22;2;1;0;0;514038
Nuwan Kulasekara;10;1;46;0;4.60;35;6;0;0;0;514039
Lasith Malinga;10;0;79;2;7.90;23;11;1;1;0;514039
Angelo Mathews;3;1;16;0;5.33;12;2;0;2;0;514039
Thisara Perera;7;0;64;0;9.14;9;5;2;2;0;514039
Sachithra Senanayake;9;0;50;1;5.56;28;0;4;0;0;514039
Tillakaratne Dilshan;2;0;12;0;6.00;5;0;1;0;0;514039
Rangana Herath;9;0;43;0;4.78;23;2;0;1;0;514039
Lasith Malinga;9;0;49;1;5.44;29;6;0;1;0;518957
Nuwan Kulasekara;8;0;38;0;4.75;27;5;0;0;0;518957
Dhammika Prasad;10;0;47;1;4.70;35;5;1;0;0;518957
Angelo Mathews;9.4;1;31;2;3.21;36;3;0;0;0;518957
Thisara Perera;5;0;37;1;7.40;10;4;0;1;0;518957
Tillakaratne Dilshan;5;0;27;0;5.40;9;1;0;0;0;518957
Lasith Malinga;10;0;48;2;4.80;38;3;1;4;0;518958
Nuwan Kulasekara;10;0;39;2;3.90;34;3;0;0;0;518958
Angelo Mathews;9;0;37;2;4.11;32;3;0;1;0;518958
Dhammika Prasad;9.1;0;55;2;6.00;32;9;0;0;0;518958
Sachithra Senanayake;10;0;45;2;4.50;37;3;2;0;0;518958
Tillakaratne Dilshan;1;0;1;0;1.00;5;0;0;0;0;518958
Lasith Malinga;10;1;53;2;5.30;28;3;0;1;0;518960
Nuwan Kulasekara;10;0;39;1;3.90;36;3;0;1;0;518960
Angelo Mathews;5;0;35;0;7.00;15;3;1;1;1;518960
Thisara Perera;9;0;45;2;5.00;25;3;1;1;0;518960
Rangana Herath;10;1;33;0;3.30;37;2;0;1;0;518960
Sachithra Senanayake;6;0;30;0;5.00;17;1;0;0;0;518960
Lasith Malinga;8.5;0;42;1;4.75;34;3;0;2;0;518961
Nuwan Kulasekara;8;1;29;0;3.63;31;4;0;0;0;518961
Farveez Maharoof;8;1;18;2;2.25;37;2;0;0;0;518961
Angelo Mathews;4;0;26;1;6.50;14;3;1;0;0;518961
Thisara Perera;7;1;29;2;4.14;25;3;0;0;0;518961
Rangana Herath;5;1;12;1;2.40;23;1;0;1;0;518961
